File,aid,Date,2,14,48,49,85,96,97,112,113,144,145,160,161,164,165,176,177,224,225,240,244
QC_Night_2007105_aid0001,aid0001,2007-04-15,4474.0,,,,,,,,,,,,,,,10029.0,5755.0,,,18388.0,
QC_Night_2007113_aid0001,aid0001,2007-04-23,370.0,,,,,,,,,,,,,,,22629.0,9663.0,,,5984.0,
QC_Night_2007121_aid0001,aid0001,2007-05-01,1476.0,,,,,,,,,,,,,,,324.0,166.0,,,36680.0,
QC_Night_2007129_aid0001,aid0001,2007-05-09,56.0,,,,,,,,,,,,,,,2154.0,967.0,,,35469.0,
QC_Night_2007137_aid0001,aid0001,2007-05-17,378.0,,,,,,,61.0,369.0,,,,,,,10607.0,9954.0,,,17277.0,
QC_Night_2007145_aid0001,aid0001,2007-05-25,123.0,,,,,,,,,,,,,,,8108.0,968.0,,,29447.0,
QC_Night_2007153_aid0001,aid0001,2007-06-02,181.0,,,,,,,,11.0,,,,,,,1858.0,1494.0,,,35102.0,
QC_Night_2007161_aid0001,aid0001,2007-06-10,,,,,,,,,,,,,,,,22680.0,2283.0,,,13683.0,
QC_Night_2007169_aid0001,aid0001,2007-06-18,,,,,,,,,,,,,,,,4982.0,160.0,,,33504.0,
QC_Night_2007177_aid0001,aid0001,2007-06-26,,,,,,,,,,,,,,,,20530.0,391.0,,,17725.0,
QC_Night_2007185_aid0001,aid0001,2007-07-04,,,,,,,,1.0,,,,,,,,38533.0,112.0,,,,
QC_Night_2007193_aid0001,aid0001,2007-07-12,,,,,,,,3999.0,52.0,,,,,,,33503.0,1092.0,,,,
QC_Night_2007201_aid0001,aid0001,2007-07-20,493.0,,9.0,22.0,,660.0,48.0,2269.0,900.0,,,1978.0,526.0,,,16081.0,9474.0,,,6186.0,
QC_Night_2007209_aid0001,aid0001,2007-07-28,,,,,,,,13594.0,97.0,,,,2.0,,,24642.0,311.0,,,,
QC_Night_2007217_aid0001,aid0001,2007-08-05,,,,,,,,,,,,,,,,37645.0,544.0,,,457.0,
QC_Night_2007225_aid0001,aid0001,2007-08-13,25.0,,,,,,,7843.0,717.0,,,55.0,26.0,,,27979.0,1870.0,10.0,,121.0,
QC_Night_2007233_aid0001,aid0001,2007-08-21,,,,,,1.0,,32.0,21.0,,,2.0,,,,35926.0,2649.0,,,15.0,
QC_Night_2007241_aid0001,aid0001,2007-08-29,6.0,,5.0,1.0,,,,709.0,315.0,,,,,,,30661.0,4730.0,,,2219.0,
QC_Night_2007249_aid0001,aid0001,2007-09-06,,,,,,,,4.0,15.0,,,,,,,7768.0,943.0,,,29916.0,
QC_Night_2007257_aid0001,aid0001,2007-09-14,9.0,,,,,,,17.0,44.0,,,,,,,22996.0,3763.0,,,11817.0,
QC_Night_2007265_aid0001,aid0001,2007-09-22,1.0,,,,,,,25.0,43.0,,,,,,,11527.0,3290.0,,,23760.0,
QC_Night_2007273_aid0001,aid0001,2007-09-30,77.0,,,,,,,41.0,57.0,,,,,,,16720.0,7572.0,,,14179.0,
QC_Night_2007281_aid0001,aid0001,2007-10-08,121.0,,,,,,,61.0,67.0,,,,,,,21861.0,4685.0,,,11851.0,
QC_Night_2007289_aid0001,aid0001,2007-10-16,15125.0,,,,,,,,,,,,,,,1607.0,5452.0,,,16462.0,
QC_Night_2007297_aid0001,aid0001,2007-10-24,103.0,,,,,,,,,,,,,,,15144.0,3745.0,,,19654.0,
QC_Night_2007305_aid0001,aid0001,2007-11-01,277.0,,,,,,,,,,,,,,,26.0,17.0,,,38326.0,
QC_Night_2007313_aid0001,aid0001,2007-11-09,1835.0,,,,,,,,,,,,,,,432.0,263.0,,,36116.0,
QC_Night_2007321_aid0001,aid0001,2007-11-17,616.0,,,,,,,,,,,,,,,7695.0,2374.0,,,27961.0,
QC_Night_2007329_aid0001,aid0001,2007-11-25,13918.0,,,,,,,,,,,,,,,710.0,5461.0,,,18557.0,
QC_Night_2007337_aid0001,aid0001,2007-12-03,19584.0,,,,,,,,,,,,,,,3877.0,12104.0,,,3081.0,
QC_Night_2007345_aid0001,aid0001,2007-12-11,12814.0,,,,,,,,,,,,,,,,130.0,,,25702.0,
QC_Night_2007353_aid0001,aid0001,2007-12-19,19729.0,,,,,,,,,,,,,,,262.0,638.0,,,18017.0,
QC_Night_2007361_aid0001,aid0001,2007-12-27,13267.0,,,,,,,,,,,,,,,463.0,598.0,,,24318.0,
QC_Night_2008001_aid0001,aid0001,2008-01-01,10455.0,,,,,,,,,,,,,,,45.0,82.0,,,28064.0,
QC_Night_2008009_aid0001,aid0001,2008-01-09,11651.0,,,,,,,,,,,,,,,,5.0,,,26990.0,
QC_Night_2008017_aid0001,aid0001,2008-01-17,9521.0,,,,,,,,,,,,,,,153.0,871.0,,,28101.0,
QC_Night_2008025_aid0001,aid0001,2008-01-25,12029.0,,,,,,,,,,,,,,,,,,,26617.0,
QC_Night_2008033_aid0001,aid0001,2008-02-02,10801.0,,,,,,,,,,,,,,,4458.0,3161.0,,,20226.0,
QC_Night_2008041_aid0001,aid0001,2008-02-10,8889.0,,,,,,,,,,,,,,,655.0,667.0,,,28435.0,
QC_Night_2008049_aid0001,aid0001,2008-02-18,8851.0,,,,,,,,,,,,,,,67.0,472.0,,,29256.0,
QC_Night_2008057_aid0001,aid0001,2008-02-26,2977.0,,,,,,,,,,,,,,,7971.0,5944.0,,,21754.0,
QC_Night_2008065_aid0001,aid0001,2008-03-05,6579.0,,,,,,,,,,,,,,,71.0,564.0,,,31432.0,
QC_Night_2008073_aid0001,aid0001,2008-03-13,4076.0,,,,,,,,,,,,,,,2265.0,6925.0,,,25377.0,3.0
QC_Night_2008081_aid0001,aid0001,2008-03-21,3889.0,,,,,,,,,,,,,,,18.0,162.0,,,34577.0,
QC_Night_2008089_aid0001,aid0001,2008-03-29,3349.0,,,,,,,,,,,,,,,5060.0,3276.0,,,26961.0,
QC_Night_2008097_aid0001,aid0001,2008-04-06,2208.0,,,,,,,,,,,,,,,6047.0,6327.0,,,24064.0,
QC_Night_2008105_aid0001,aid0001,2008-04-14,578.0,,,,,,,,,,,,,,,2057.0,1734.0,,,34277.0,
QC_Night_2008113_aid0001,aid0001,2008-04-22,1405.0,,,,,,,,,,,,,,,3507.0,2884.0,,,30850.0,
QC_Night_2008121_aid0001,aid0001,2008-04-30,219.0,,,,,,,737.0,1541.0,,,,,,,11770.0,15381.0,,,8998.0,
QC_Night_2008129_aid0001,aid0001,2008-05-08,2520.0,,,,,,,,,,,,,,,5740.0,4340.0,,,26046.0,
QC_Night_2008137_aid0001,aid0001,2008-05-16,488.0,,,,,,,,,,,,,,,4389.0,1882.0,,,31887.0,
QC_Night_2008145_aid0001,aid0001,2008-05-24,3863.0,,,,,,,432.0,972.0,,,,,,,6596.0,10193.0,,,16590.0,
QC_Night_2008153_aid0001,aid0001,2008-06-01,1645.0,,,,,,,,5.0,,,,,,,10793.0,4485.0,,,21718.0,
QC_Night_2008161_aid0001,aid0001,2008-06-09,27.0,,,,,,,,,,,,,,,12642.0,3042.0,,,22935.0,
QC_Night_2008169_aid0001,aid0001,2008-06-17,13.0,,,,,,,,,,,,,,,1060.0,192.0,,,37381.0,
QC_Night_2008177_aid0001,aid0001,2008-06-25,2.0,,,,,,,1.0,,,,,,,,34506.0,453.0,,,3684.0,
QC_Night_2008185_aid0001,aid0001,2008-07-03,,,,,,,,,,,,,,,,37101.0,343.0,,,1202.0,
QC_Night_2008193_aid0001,aid0001,2008-07-11,,,,,,,,,,,,,,,,5311.0,77.0,,,33258.0,
QC_Night_2008201_aid0001,aid0001,2008-07-19,,,,,,,,,,,,128.0,2.0,,,36172.0,1039.0,,,1305.0,
QC_Night_2008209_aid0001,aid0001,2008-07-27,,,,,,,,,,,,,,,,38526.0,96.0,,,24.0,
QC_Night_2008217_aid0001,aid0001,2008-08-04,,,,,,,,23.0,,,,1439.0,3.0,,,22713.0,2678.0,,,11790.0,
QC_Night_2008225_aid0001,aid0001,2008-08-12,2.0,,,,,,,,,,,,,,,37567.0,987.0,,,90.0,
QC_Night_2008233_aid0001,aid0001,2008-08-20,,,,,,,,9.0,,,,,,,,35181.0,2580.0,,,876.0,
QC_Night_2008241_aid0001,aid0001,2008-08-28,34.0,,,,,,,24.0,30.0,,,,,,,25451.0,2829.0,,,10278.0,
QC_Night_2008249_aid0001,aid0001,2008-09-05,35.0,,,,,,,23.0,6.0,,,,,,,9090.0,1653.0,,,27839.0,
QC_Night_2008257_aid0001,aid0001,2008-09-13,14.0,,,,,,,,,,,,,,,3392.0,155.0,,,35085.0,
QC_Night_2008265_aid0001,aid0001,2008-09-21,26.0,,,,,,,,,,,,,,,12845.0,2605.0,,,23170.0,
QC_Night_2008273_aid0001,aid0001,2008-09-29,143.0,,,,,,,,,,,,,,,32019.0,5241.0,,,1243.0,
QC_Night_2008281_aid0001,aid0001,2008-10-07,54.0,,,,,,,,,,,,,,,10690.0,3603.0,,,24299.0,
QC_Night_2008289_aid0001,aid0001,2008-10-15,92.0,,,,,,,,,,,,,,,1682.0,268.0,,,36604.0,
QC_Night_2008297_aid0001,aid0001,2008-10-23,59.0,,,,,,,,,,,,,,,3038.0,3347.0,,,32202.0,
QC_Night_2008305_aid0001,aid0001,2008-10-31,18062.0,,,,,,,,,,,,,,,5445.0,10923.0,,,4216.0,
QC_Night_2008313_aid0001,aid0001,2008-11-08,7895.0,,,,,,,,,,,,,,,2155.0,8313.0,,,20283.0,
QC_Night_2008321_aid0001,aid0001,2008-11-16,1377.0,,,,,,,,,,,,,,,6616.0,5819.0,,,24834.0,
QC_Night_2008329_aid0001,aid0001,2008-11-24,8551.0,,,,,,,,,,,,,,,2653.0,3113.0,,,24329.0,
QC_Night_2008337_aid0001,aid0001,2008-12-02,4428.0,,,,,,,,,,,,,,,7446.0,9138.0,,,17634.0,
QC_Night_2008345_aid0001,aid0001,2008-12-10,13985.0,,,,,,,,,,,,,,,,100.0,,,24561.0,
QC_Night_2008353_aid0001,aid0001,2008-12-18,28459.0,,,,,,,,,,,,,,,178.0,283.0,,,9726.0,
QC_Night_2008361_aid0001,aid0001,2008-12-26,14826.0,,,,,,,,,,,,,,,1109.0,676.0,,,22035.0,
QC_Night_2009001_aid0001,aid0001,2009-01-01,11910.0,,,,,,,,,,,,,,,1478.0,2872.0,,,22386.0,
QC_Night_2009009_aid0001,aid0001,2009-01-09,8247.0,,,,,,,,,,,,,,,41.0,402.0,,,29956.0,
QC_Night_2009017_aid0001,aid0001,2009-01-17,6082.0,,,,,,,,,,,,,,,97.0,1176.0,,,31291.0,
QC_Night_2009025_aid0001,aid0001,2009-01-25,9153.0,,,,,,,,,,,,,,,697.0,2436.0,,,26360.0,
QC_Night_2009033_aid0001,aid0001,2009-02-02,7273.0,,,,,,,,,,,,,,,1280.0,1497.0,,,28596.0,
QC_Night_2009041_aid0001,aid0001,2009-02-10,11718.0,,,,,,,,,,,,,,,,,,,26928.0,
QC_Night_2009049_aid0001,aid0001,2009-02-18,6924.0,,,,,,,,,,,,,,,97.0,505.0,,,31120.0,
QC_Night_2009057_aid0001,aid0001,2009-02-26,12129.0,,,,,,,,,,,,,,,427.0,1200.0,,,24890.0,
QC_Night_2009065_aid0001,aid0001,2009-03-06,4761.0,,,,,,,,,,,,,,,739.0,2747.0,,,30399.0,
QC_Night_2009073_aid0001,aid0001,2009-03-14,2511.0,,,,,,,,,,,,,,,1247.0,2908.0,,,31980.0,
QC_Night_2009081_aid0001,aid0001,2009-03-22,7184.0,,,,,,,,,,,,,,,1474.0,2825.0,,,27163.0,
QC_Night_2009089_aid0001,aid0001,2009-03-30,8735.0,,,,,,,,,,,,,,,119.0,1799.0,,,27993.0,
QC_Night_2009097_aid0001,aid0001,2009-04-07,1920.0,,,,,,,,,,,,,,,8250.0,6365.0,,,22111.0,
QC_Night_2009105_aid0001,aid0001,2009-04-15,1091.0,,,,,,,,,,,,,,,1454.0,1921.0,,,34180.0,
QC_Night_2009113_aid0001,aid0001,2009-04-23,1747.0,,,,,,,,,,,,,,,9942.0,15513.0,,,11444.0,
QC_Night_2009121_aid0001,aid0001,2009-05-01,1639.0,,,,,,,,,,,,,,,8586.0,5798.0,,,22623.0,
QC_Night_2009129_aid0001,aid0001,2009-05-09,592.0,,,,,,,,,,,,,,,13469.0,6542.0,,,18043.0,
QC_Night_2009137_aid0001,aid0001,2009-05-17,275.0,,,,,,,9.0,,,,,,,,28131.0,9237.0,,,994.0,
QC_Night_2009145_aid0001,aid0001,2009-05-25,457.0,,,,,,,,13.0,,,,,,,12517.0,3063.0,,,22596.0,
QC_Night_2009153_aid0001,aid0001,2009-06-02,12309.0,,,,,,,,,,,,,,,7554.0,9198.0,,8.0,9577.0,
QC_Night_2009161_aid0001,aid0001,2009-06-10,7372.0,,,,,,,366.0,774.0,,,,,,,13002.0,14718.0,,,2414.0,
QC_Night_2009169_aid0001,aid0001,2009-06-18,8.0,,,,,,,333.0,36.0,,,,,,,32089.0,3460.0,,,2720.0,
QC_Night_2009177_aid0001,aid0001,2009-06-26,,,,,,,,,,,,,,,,7342.0,564.0,,,30740.0,
QC_Night_2009185_aid0001,aid0001,2009-07-04,,,,,,,,,,,,438.0,77.0,,,26901.0,534.0,,2.0,10694.0,
QC_Night_2009193_aid0001,aid0001,2009-07-12,,,,,,,,,,,,,,,,31440.0,627.0,,,6579.0,
QC_Night_2009201_aid0001,aid0001,2009-07-20,,,,,,,,48.0,,,,349.0,,,,19208.0,1469.0,,,17572.0,
QC_Night_2009209_aid0001,aid0001,2009-07-28,,,,,,,,184.0,2.0,,,,,,,35902.0,2523.0,,,35.0,
QC_Night_2009217_aid0001,aid0001,2009-08-05,81.0,,,,,,,4.0,51.0,,,,,,,25317.0,4543.0,,,8650.0,
